Palavra,Fonemas-Alvo (minRedundancia=2),Bloco de Palavras Similares
Anel[n(OM)][Microfone]
Bebê[b(OI), b(OM)][Biblioteca, Cabelo]
Dedo[d(OI)][Dente]
Cama[k(OI), m(OM)][Colher, Grama]
Batom[b(OI), t(OM)][Biblioteca]
Dado[d(OI)][Dente]
Navio[n(OI), v(OM)][Travesseiro, Nariz]
Terra[t(OI), χ(OM)][Cachorro, Tênis]
Tênis[t(OI), n(OM), s(CF)][Microfone, Nariz, Terra]
Dente[d(OI), n(CM)][Presente, Dado]
Rabo[χ(OI), b(OM)][Refri, Cabelo]
Faca[f(OI), k(OM)][Biblioteca, Folha]
Caminhão[k(OI), m(OM), ɲ(OM)][Colher, Grama, Galinha]
Fogo[f(OI)][Folha]
Sapo[s(OI), p(OM)][Espelho, Sofá]
Sapato[s(OI), p(OM), t(OM)][Biblioteca, Espelho, Sofá]
Cabelo[k(OI), b(OM), l(OM)][Colher, Estrela, Rabo]
Vaca[v(OI), k(OM)][Biblioteca, Vidro]
Lápis[l(OI), p(OM), s(CF)][Letra, Nariz, Espelho]
Galinha[g(OI), l(OM), ɲ(OM)][Estrela, Garfo, Caminhão]
Mesa[m(OI), z(OM)][Microfone, Presente]
Gato[g(OI)][Garfo]
Cavalo[k(OI), v(OM), l(OM)][Travesseiro, Colher, Estrela]
Bolsa[b(OI), s(OM)][Travesseiro, Biblioteca]
Casa[k(OI), z(OM)][Colher, Presente]
Sofá[s(OI), f(OM)][Microfone, Sapato]
Barriga[b(OI), χ(OM), g(OM)][Biblioteca, Dragão, Cachorro]
Calça[k(OI), s(OM)][Travesseiro, Colher]
Folha[f(OI), ʎ(OM)][Colher, Fogo]
Chapéu[ʃ(OI), p(OM)][Chifre, Espelho]
Pastel[p(OI), s(CM), t(OM)][Biblioteca, Floresta, Pedra]
Coelho[k(OI), ʎ(OM)][Colher]
Língua[l(OI), n(CM), gʷ(OM)][Letra, Presente]
Chinelo[ʃ(OI), n(OM), l(OM)][Microfone, Estrela, Chifre]
Beijo[b(OI), ʒ(OM)][Biblioteca, Igreja]
Caixa[k(OI), ʃ(OM)][Colher, Bruxa]
Cachorro[k(OI), ʃ(OM), χ(OM)][Colher, Bruxa, Barriga]
Espelho[s(CM), p(OM), ʎ(OM)][Floresta, Colher, Chapéu]
Nuvem[n(OI), v(OM)][Travesseiro, Nariz]
Relógio[χ(OI), l(OM), ʒ(OM)][Estrela, Igreja, Refri]
Porta[p(OI), ɾ(CM), t(OM)][Biblioteca, Pedra, Garfo]
Ventilador[v(OI), n(CM), ʧ(OM), l(OM), d(OM), ɾ(CF)][Colher, Vidro, Estrela, Plástico, Presente]
Zero[z(OI), ɾ(OM)][Travesseiro, Zebra]
Passarinho[p(OI), s(OM), ɾ(OM)][Travesseiro, Pedra]
Tesoura[z(OM), ɾ(OM)][Travesseiro, Presente]
Nariz[n(OI), ɾ(OM), s(CF)][Travesseiro, Nuvem, Lápis]
Jornal[ʒ(OI), ɾ(CM), n(OM)][Microfone, Girafa, Garfo]
Garfo[g(OI), ɾ(CM), f(OM)][Microfone, Jornal, Gato]
Jacaré[ʒ(OI), k(OM), ɾ(OM)][Travesseiro, Biblioteca, Girafa]
Girafa[ʒ(OI), ɾ(OM), f(OM)][Travesseiro, Microfone, Jacaré]
Brinco[bɾ(OCI), n(CM), k(OM)][Biblioteca, Bruxa, Presente]
Prato[pɾ(OCI), t(OM)][Biblioteca, Presente]
Cobra[k(OI), bɾ(OCME)][Colher, Zebra]
Zebra[z(OI), bɾ(OCME)][Cobra, Zero]
Grama[gɾ(OCI), m(OM)][Gritar, Caminhão]
Cruz[kɾ(OCI)][]
Trem[tɾ(OCI)][Travesseiro]
Soprar[pɾ(OCME)][]
Placa[pl(OCI), k(OM)][Biblioteca, Plástico]
Fruta[fɾ(OCI)][Fralda]
Fralda[fɾ(OCI)][Fruta]
Refri[χ(OI), fɾ(OCME)][Chifre, Relógio]
Presente[pɾ(OCI), z(OM), n(CM)][Prato, Brinco, Tesoura]
Livro[l(OI), vɾ(OCME)][Letra]
Chiclete[ʃ(OI), kl(OCME)][Bicicleta, Chifre]
Chifre[ʃ(OI), fɾ(OCME)][Chiclete, Refri]
Bicicleta[b(OI), s(OM), kl(OCME), t(OM)][Travesseiro, Biblioteca, Chiclete]
Gritar[gɾ(OCI), t(OM)][Biblioteca, Grama]
Bruxa[bɾ(OCI), ʃ(OM)][Brinco, Cachorro]
Letra[l(OI), tɾ(OCME)][Estrela, Livro]
Plástico[pl(OCI), s(CM), ʧ(OM), k(OM)][Biblioteca, Floresta, Placa, Ventilador]
Igreja[gɾ(OCME), ʒ(OM)][Magro, Relógio]
Flor[fl(OCI)][Floresta]
Escrever[s(CM), kɾ(OCME), v(OM)][Travesseiro, Floresta, Microfone]
Dragão[dɾ(OCI), g(OM)][Barriga]
Magro[m(OI), gɾ(OCME)][Microfone, Igreja]
Estrela[s(CM), tɾ(OCME), l(OM)][Floresta, Letra, Ventilador]
Pedra[p(OI), dɾ(OCME)][Vidro, Passarinho]
Vidro[v(OI), dɾ(OCME)][Pedra, Ventilador]
Microfone[m(OI), kɾ(OCME), f(OM), n(OM)][Magro, Escrever, Girafa, Jornal]
Colher[k(OI), ʎ(OM), ɾ(CF)][Cobra, Ventilador, Espelho]
Floresta[fl(OCI), ɾ(OM), s(CM), t(OM)][Travesseiro, Biblioteca, Estrela, Flor]
Biblioteca[b(OI), bl(OCME), t(OM), k(OM)][Floresta, Plástico, Bicicleta]
Travesseiro[tɾ(OCI), v(OM), s(OM), ɾ(OM)][Floresta, Escrever, Bicicleta, Trem]
